join_date,customer_key,first_name,last_name,gender,age,age_group,total_spend,total_orders,last_purchase_date,customer_status
2012-11-15,1826,Kelvin,Hu,Male,42,30-44,4419,2,2013-11-21,Active
2012-11-17,1827,Caleb,Gonzalez,Male,42,30-44,4428,2,2013-11-16,Active
2013-03-18,1829,Carol,Rubio,Female,38,30-44,55,1,2013-03-18,One-Time Buyer
2013-09-25,1843,Kelvin,Becker,Male,32,30-44,33,1,2013-09-25,One-Time Buyer
2013-03-25,1845,Gerald,Gonzalez,Male,43,30-44,57,1,2013-03-25,One-Time Buyer
2012-12-05,1853,Teresa,Carlson,Female,29,Under 30,4411,2,2013-11-04,Active
2012-10-01,1855,Reginald,Romero,Male,45,45-59,4367,2,2013-06-05,Active
2012-11-19,1862,Robyn,Jimenez,Female,40,30-44,4394,2,2013-07-07,Active
2012-12-11,1868,Laura,Ye,Female,32,30-44,4366,2,2013-12-19,Active
2013-07-06,2194,Kevin,Evans,Male,65,60+,72,1,2013-07-06,One-Time Buyer
2013-09-19,2195,Kevin,Carter,Male,64,60+,57,1,2013-09-19,One-Time Buyer
2013-04-09,2196,Aaron,Perry,Male,53,45-59,72,1,2013-04-09,One-Time Buyer
2013-02-23,256,Colin,Lin,Male,75,60+,114,2,2013-03-31,Active
2013-05-21,259,Xavier,Hill,Male,75,60+,49,2,2013-07-15,Active
2013-01-03,266,Elizabeth,Jones,Female,43,30-44,2352,1,2013-01-03,Churned One-Time
2011-08-29,275,Kyle,Foster,Male,74,60+,5888,2,2013-02-24,Churned
2013-07-01,281,Robert,Collins,Male,44,30-44,77,2,2013-08-08,Active
2011-09-01,297,Haley,Richardson,Female,72,60+,5897,2,2013-01-29,Churned
2011-09-26,298,Noah,Coleman,Male,73,60+,5948,2,2013-02-20,Churned
2013-09-07,309,Ian,Gonzales,Male,54,45-59,92,1,2013-09-07,One-Time Buyer
2013-05-07,314,Trevor,Jenkins,Male,55,45-59,44,2,2013-11-26,Active
2013-05-20,316,Hailey,Ward,Female,54,45-59,42,2,2013-12-17,Active
2013-01-12,317,Luke,Allen,Male,54,45-59,2350,1,2013-01-12,Churned One-Time
2011-08-31,516,Shannon,Huang,Female,54,45-59,5930,2,2013-04-20,Active
2011-09-03,523,Christian,Hughes,Male,41,30-44,5888,2,2013-02-01,Churned
2013-05-14,534,Ebony,Gill,Female,45,45-59,2,1,2013-05-14,One-Time Buyer
2013-05-11,543,Alejandro,Tang,Male,34,30-44,34,1,2013-05-11,One-Time Buyer
2012-12-25,548,Cindy,Sai,Female,34,30-44,4976,3,2013-07-28,Active
2013-11-30,559,Ivan,Malhotra,Male,40,30-44,21,1,2013-11-30,One-Time Buyer
2012-02-16,565,Jorge,Liang,Male,41,30-44,4369,2,2013-03-18,Active
2013-09-08,566,Erik,Diaz,Male,42,30-44,35,1,2013-09-08,One-Time Buyer
2013-03-15,568,Carla,Perez,Female,35,30-44,54,1,2013-03-15,One-Time Buyer
2012-12-09,573,Billy,Moreno,Male,36,30-44,4450,2,2013-03-08,Active
2013-07-27,574,Meagan,Subram,Female,37,30-44,35,1,2013-07-27,One-Time Buyer
2012-01-20,576,Jackson,Campbell,Male,43,30-44,6806,3,2013-09-16,Active
2011-09-20,910,Nichole,She,Female,42,30-44,8105,3,2013-08-01,Active
2011-10-01,917,Joe,Rana,Male,37,30-44,8179,3,2013-08-21,Active
2011-10-27,918,Roy,Sanz,Male,42,30-44,8121,3,2013-08-19,Active
2011-10-13,919,Kaylee,Hill,Female,44,30-44,8205,3,2013-11-25,Active
2011-10-09,926,Ashlee,Jai,Female,29,Under 30,5968,2,2013-06-19,Active
2013-04-29,933,Elizabeth,Coleman,Female,29,Under 30,136,2,2013-07-25,Active
2013-08-07,942,Adam,Roberts,Male,31,30-44,109,2,2013-11-02,Active
2011-10-18,944,Dawn,Huang,Female,59,45-59,4734,3,2013-12-13,Active
2013-07-16,950,Julia,Brooks,Female,27,Under 30,70,2,2013-09-24,Active
2013-02-17,951,Jordan,Carter,Female,28,Under 30,110,2,2013-11-07,Active
2013-06-16,959,Dylan,Lal,Male,35,30-44,160,2,2013-11-10,Active
2012-03-10,1216,Karla,She,Female,45,45-59,6890,3,2013-12-21,Active
2012-05-25,1219,Mitchell,Xu,Male,46,45-59,4472,2,2013-04-25,Active
2012-05-19,1227,Faith,Ward,Female,45,45-59,4368,2,2013-05-02,Active
2012-06-03,1233,Sean,Hernandez,Male,53,45-59,4376,2,2013-06-10,Active
2013-03-23,1236,Donna,Rai,Female,64,60+,62,2,2013-07-06,Active
2011-12-16,1243,Gilbert,Liang,Male,29,Under 30,3949,2,2013-06-11,Active
2011-12-24,1244,Kristy,Rubio,Female,28,Under 30,3915,2,2013-06-19,Active
2013-10-01,1259,Jamie,Li,Female,46,45-59,50,1,2013-10-01,One-Time Buyer
2011-04-01,1268,Clifford,Garcia,Male,50,45-59,5873,2,2013-08-16,Active
2013-06-27,1270,Warren,Zheng,Male,42,30-44,44,1,2013-06-27,One-Time Buyer
2012-07-15,1276,Adriana,Madan,Female,32,30-44,4435,2,2013-07-30,Active
2012-07-01,1277,Alisha,Shan,Female,37,30-44,4416,2,2013-07-16,Active
2013-06-15,1542,Jonathan,Zhang,Male,45,45-59,9,1,2013-06-15,One-Time Buyer
2013-06-13,1551,Austin,Diaz,Male,53,45-59,86,2,2013-12-09,Active
2013-08-09,1552,Julio,Ramos,Male,65,60+,25,1,2013-08-09,One-Time Buyer
2013-05-11,1554,Toni,Fernandez,Female,69,60+,10,1,2013-05-11,One-Time Buyer
2013-02-11,1568,Carmen,Arthur,Female,60,60+,43,2,2013-10-05,Active
2012-01-15,1576,Jaclyn,Shen,Female,28,Under 30,2668,2,2013-09-27,Active
2012-01-04,1577,Walter,Dominguez,Male,29,Under 30,2653,2,2013-09-19,Active
2012-02-15,1578,Francis,Sanz,Male,28,Under 30,2614,2,2013-09-20,Active
2012-02-14,1579,Gavin,Perry,Male,28,Under 30,2668,2,2013-10-23,Active
2012-02-28,1584,Tyrone,Ortega,Male,31,30-44,2646,2,2013-10-10,Active
2012-02-28,1586,Ian,Martinez,Male,29,Under 30,2629,2,2013-11-06,Active
2012-02-03,1587,Kellie,Hernandez,Female,29,Under 30,2636,2,2013-11-23,Active
2013-08-05,1592,Meredith,Madan,Female,41,30-44,50,1,2013-08-05,One-Time Buyer
2013-02-18,1594,Benjamin,Zhang,Male,47,45-59,43,2,2013-08-29,Active
2013-11-25,1595,Sandra,Gao,Female,47,45-59,38,2,2013-12-16,Active
2013-03-08,1596,Mathew,Blanco,Male,47,45-59,40,2,2013-08-04,Active
2013-02-20,1603,Francisco,Srini,Male,47,45-59,45,2,2013-12-26,Active
2012-06-18,2130,Joy,Ramos,Female,44,30-44,6823,3,2013-11-19,Active
2012-06-08,2136,Johnny,Rai,Male,50,45-59,6773,3,2013-11-17,Active
2013-06-22,2137,Virginia,Martinez,Female,71,60+,62,2,2013-10-08,Active
2013-08-02,2144,Hannah,Jackson,Female,33,30-44,2405,1,2013-08-02,One-Time Buyer
2013-05-18,2147,Gabriella,Ramirez,Female,32,30-44,31,1,2013-05-18,One-Time Buyer
2013-12-04,2152,Ethan,Moore,Male,29,Under 30,92,1,2013-12-04,One-Time Buyer
2013-11-05,2155,Aaron,Lal,Male,28,Under 30,2310,1,2013-11-05,One-Time Buyer
2012-06-24,2161,Willie,Xu,Male,65,60+,6839,3,2013-11-20,Active
2013-09-26,2169,Hannah,Price,Female,34,30-44,75,1,2013-09-26,One-Time Buyer
2013-03-03,197,Alfredo,Romero,Male,62,60+,162,2,2013-09-24,Active
2013-05-02,198,Andrea,Morris,Female,62,60+,207,2,2013-07-20,Active
2013-02-05,199,Brooke,Sanders,Female,61,60+,98,2,2013-02-13,Churned
2011-08-15,217,Jasmine,Torres,Female,58,45-59,5948,2,2013-02-05,Churned
2013-04-07,222,Nathan,Perry,Male,58,45-59,46,2,2013-10-17,Active
2011-08-07,225,Tiffany,Li,Female,56,45-59,6685,3,2013-12-03,Active
2011-01-06,239,Mayra,Prasad,Female,49,45-59,7543,4,2013-04-30,Active
2011-02-27,241,Anne,Hernandez,Female,49,45-59,7586,4,2013-05-13,Active
2011-10-03,247,Latasha,Rubio,Female,51,45-59,10575,4,2013-12-20,Active
2011-10-25,709,Elizabeth,Weisman,Female,39,30-44,5908,2,2013-05-28,Active
2013-03-11,710,Hailey,Collins,Female,45,45-59,325,5,2013-10-14,Active
2013-12-26,716,Chloe,Robinson,Female,45,45-59,144,2,2013-12-30,Active
2013-02-05,725,Jason,Carter,Male,41,30-44,210,5,2013-12-14,Active
2013-04-01,726,Jose,Li,Male,40,30-44,124,2,2013-05-02,Active
2013-06-21,735,Omar,Chen,Male,43,30-44,136,2,2013-07-07,Active
2013-03-07,741,Jan,Hall,Female,49,45-59,334,4,2013-08-31,Active
2013-08-07,748,Destiny,Davis,Female,50,45-59,116,2,2013-10-13,Active
2013-06-07,749,Blake,Hill,Male,49,45-59,132,5,2013-11-01,Active
2011-07-14,751,Latoya,She,Female,29,Under 30,8148,3,2013-10-01,Active
2011-07-28,757,Linda,Ortega,Female,39,30-44,8078,3,2013-10-25,Active
2013-02-23,758,Vincent,Cai,Male,34,30-44,57,3,2013-11-27,Active
2013-03-30,759,Colin,Yuan,Male,34,30-44,57,3,2013-11-24,Active
2011-09-12,766,Marc,Torres,Male,30,30-44,8143,3,2013-07-26,Active
2011-09-19,767,Candace,Raman,Female,41,30-44,8280,3,2013-07-10,Active
2011-09-17,768,Meagan,Madan,Female,36,30-44,8319,3,2013-07-12,Active
2013-11-06,1032,Logan,Jai,Male,28,Under 30,769,1,2013-11-06,One-Time Buyer
2013-09-23,1035,Julian,Long,Male,67,60+,72,2,2013-09-24,Active
2011-11-09,1042,Seth,Martin,Male,27,Under 30,5998,2,2013-07-01,Active
2011-11-05,1043,Alex,Carter,Male,32,30-44,5975,2,2013-07-12,Active
2011-11-12,1051,Aaron,Young,Male,35,30-44,6024,2,2013-02-06,Churned
2011-11-22,1060,Jason,Jenkins,Male,65,60+,5930,2,2013-02-22,Churned
2013-01-31,1061,Andrew,Wedge,Male,65,60+,4812,2,2013-06-25,Active
2013-04-24,1068,Aaron,Bryant,Male,63,60+,134,2,2013-07-26,Active
2013-08-11,1075,Megan,Jenkins,Female,52,45-59,261,4,2013-10-26,Active
2011-11-22,1076,Cameron,Griffin,Male,64,60+,5933,2,2013-07-25,Active
2011-11-17,1083,Lauren,Sanchez,Female,61,60+,5913,2,2013-03-25,Active
2011-11-08,1085,Aidan,Perry,Male,60,60+,5985,2,2013-07-19,Active
2013-06-21,1086,Tyler,Rodriguez,Male,60,60+,108,2,2013-08-24,Active
2013-04-06,1604,Cole,Reed,Male,42,30-44,117,2,2013-09-24,Active
2012-08-08,1609,Brett,Sanchez,Male,43,30-44,5690,3,2013-09-25,Active
2013-05-20,1617,Kelsey,Tang,Female,33,30-44,15,1,2013-05-20,One-Time Buyer
2013-07-15,1634,Shannon,Suarez,Male,63,60+,86,2,2013-09-30,Active
2012-08-29,1635,Derrick,Ruiz,Male,62,60+,6787,3,2013-04-24,Active
2013-05-15,1643,Jimmy,Carlson,Male,48,45-59,9,1,2013-05-15,One-Time Buyer
2013-09-01,1653,Carolyn,Martin,Female,57,45-59,183,2,2013-11-23,Active
2012-09-12,1654,Nichole,Andersen,Female,58,45-59,6859,3,2013-05-28,Active
2013-04-16,1660,Damien,Chande,Male,60,60+,74,1,2013-04-16,One-Time Buyer
2013-11-30,1661,Toni,Sanchez,Female,60,60+,45,1,2013-11-30,One-Time Buyer
2012-02-10,1669,Melissa,Patterson,Female,32,30-44,6839,3,2013-09-19,Active
2013-09-25,1937,Renee,Moreno,Female,43,30-44,265,4,2013-10-20,Active
2012-01-10,1943,Morgan,Harris,Female,37,30-44,4502,2,2013-04-13,Active
2013-08-13,1953,Jennifer,Hughes,Female,34,30-44,37,1,2013-08-13,One-Time Buyer
2013-04-06,1961,Ashley,Lewis,Female,40,30-44,51,2,2013-05-27,Active
2013-11-04,1962,Kimberly,Murphy,Female,40,30-44,9,1,2013-11-04,One-Time Buyer
2013-10-25,1963,Jennifer,Edwards,Female,40,30-44,84,2,2013-11-14,Active
2013-11-23,1969,Paige,Butler,Female,35,30-44,22,1,2013-11-23,One-Time Buyer
2013-03-06,1987,Rachel,Garcia,Female,49,45-59,4823,2,2013-07-02,Active
2013-03-23,1993,Ernest,Zeng,Male,34,30-44,158,3,2013-08-08,Active
2012-11-10,2253,Bianca,Lu,Female,50,45-59,6820,3,2013-05-18,Active
2012-11-02,2254,Carly,Xie,Female,39,30-44,6774,3,2013-05-27,Active
2012-02-12,2270,Rachel,Martin,Female,76,60+,4508,2,2013-11-25,Active
2012-02-26,2279,Jorge,Hu,Male,42,30-44,4579,2,2013-05-05,Active
2012-02-22,2281,Bailey,Adams,Female,32,30-44,4559,2,2013-05-03,Active
2012-02-10,2287,Hannah,Rodriguez,Female,39,30-44,4517,2,2013-05-26,Active
2012-02-11,2288,Brandon,Rodriguez,Male,44,30-44,4763,2,2013-05-17,Active
2013-03-27,2297,Seth,Anderson,Male,47,45-59,22,1,2013-03-27,One-Time Buyer
2013-05-04,2306,Oscar,Alexander,Male,42,30-44,72,1,2013-05-04,One-Time Buyer
2013-03-13,2311,Miguel,Barnes,Male,47,45-59,30,1,2013-03-13,One-Time Buyer
2013-07-22,2313,Natalie,Jenkins,Female,48,45-59,81,1,2013-07-22,One-Time Buyer
2011-03-27,2580,Alan,Chen,Male,56,45-59,7294,4,2013-11-18,Active
2011-01-04,2582,Albert,Blanco,Male,61,60+,8375,3,2013-06-09,Active
2013-06-23,193,James,Brown,Male,62,60+,114,2,2013-09-25,Active
2013-02-07,201,Jason,Griffin,Male,60,60+,1265,25,2013-12-18,Active
2013-07-01,202,Amanda,Foster,Female,60,60+,181,2,2013-09-09,Active
2013-02-20,204,Luis,Diaz,Male,54,45-59,800,17,2013-12-11,Active
2013-03-04,209,Maria,Reed,Female,60,60+,134,2,2013-09-17,Active
2013-02-28,219,Olivia,Brown,Female,52,45-59,2,1,2013-02-28,Churned One-Time
2013-06-22,226,Madison,Lee,Female,51,45-59,73,2,2013-09-06,Active
2011-08-03,228,Marshall,Chavez,Male,51,45-59,5910,2,2013-02-10,Churned
2013-10-25,229,Ashley,Jones,Female,57,45-59,2,1,2013-10-25,One-Time Buyer
2012-09-19,243,Larry,Munoz,Male,50,45-59,11067,7,2013-12-04,Active
2011-02-21,244,Robin,Alvarez,Female,50,45-59,7164,4,2013-06-09,Active
2011-09-26,246,Ricky,Vazquez,Male,51,45-59,10580,4,2013-12-11,Active
2011-03-17,251,Shannon,Liu,Female,47,45-59,7115,4,2013-08-06,Active
2011-08-14,253,Nicholas,Thompson,Male,76,60+,6685,3,2013-12-18,Active
2013-03-01,254,JosΓö£┬«,Hernandez,Male,64,60+,695,16,2013-12-03,Active
2013-04-26,720,Blake,Green,Male,42,30-44,286,5,2013-09-20,Active
2013-06-15,722,Jennifer,Alexander,Female,42,30-44,105,2,2013-10-17,Active
2013-06-11,729,Logan,White,Male,48,45-59,110,2,2013-11-06,Active
2013-07-27,730,Caleb,Campbell,Male,42,30-44,125,1,2013-07-27,One-Time Buyer
2013-02-24,736,Sydney,Gray,Female,49,45-59,110,2,2013-12-22,Active
2013-02-02,739,Elijah,Alexander,Male,43,30-44,330,5,2013-12-27,Active
2011-10-10,746,Allison,Gonzalez,Female,49,45-59,5948,2,2013-05-04,Active
2013-02-27,753,Lauren,Bryant,Female,32,30-44,138,3,2013-12-06,Active
2013-05-31,756,Willie,Pal,Male,40,30-44,46,3,2013-08-17,Active
2011-08-07,763,Randall,Gomez,Male,29,Under 30,8228,3,2013-07-06,Active
2013-01-30,764,Ross,Fernandez,Male,41,30-44,76,3,2013-11-12,Active
2011-11-10,1028,Haley,Wood,Female,29,Under 30,5913,2,2013-07-26,Active
2013-08-02,1030,Damien,Hu,Male,30,30-44,55,1,2013-08-02,One-Time Buyer
2011-11-06,1031,Ana,Washington,Female,31,30-44,5970,2,2013-07-26,Active
2011-12-27,1040,Ricardo,Nath,Male,65,60+,8212,3,2013-08-06,Active
2011-11-03,1053,Makayla,Ward,Female,41,30-44,5935,2,2013-02-09,Churned
2013-01-29,1055,Luke,Diaz,Male,40,30-44,403,5,2013-12-17,Active
2013-02-21,1056,Arianna,Richardson,Female,39,30-44,59,3,2013-12-30,Active
2013-02-24,1063,Edward,Long,Male,64,60+,37,1,2013-02-24,Churned One-Time
2011-10-30,1070,Garrett,Kelly,Male,63,60+,5897,2,2013-02-27,Churned
2011-11-12,1073,Tristan,Ross,Male,63,60+,5951,2,2013-03-12,Active
2013-01-29,1078,Nicole,Sandberg,Female,57,45-59,144,3,2013-07-30,Active
2013-05-08,1082,Kaitlyn,Perez,Female,56,45-59,2367,1,2013-05-08,One-Time Buyer
2011-09-01,1608,Tamara,Zhu,Female,47,45-59,6489,3,2013-09-11,Active
2012-08-15,1613,Shannon,Torres,Male,39,30-44,5658,3,2013-09-04,Active
2011-08-30,1614,Joel,Prasad,Male,32,30-44,5984,2,2013-10-08,Active
2011-09-20,1615,Lance,Gill,Male,38,30-44,5918,2,2013-10-21,Active
2012-08-10,1616,Nathan,Hill,Male,28,Under 30,5663,3,2013-10-20,Active
2013-11-16,1630,Russell,Nara,Male,34,30-44,54,1,2013-11-16,One-Time Buyer
2011-10-25,1632,Clarence,Gao,Male,64,60+,10799,4,2013-06-07,Active
2012-09-15,1641,Angel,Richardson,Male,49,45-59,6752,3,2013-04-27,Active
2012-08-28,1648,Colleen,Anand,Female,50,45-59,6886,3,2013-04-20,Active
2011-10-10,1656,Larry,Vazquez,Male,59,45-59,10899,4,2013-06-17,Active
2012-10-27,1658,Audrey,Blanco,Female,59,45-59,7384,4,2013-12-23,Active
2012-01-11,1931,Grace,Harris,Female,39,30-44,4514,2,2013-04-22,Active
2012-01-10,1950,Morgan,Rivera,Female,43,30-44,4559,2,2013-10-04,Active
2012-01-26,1951,Mary,Adams,Female,43,30-44,4760,2,2013-10-22,Active
2013-11-18,1956,Theresa,Hernandez,Female,45,45-59,75,1,2013-11-18,One-Time Buyer
2013-06-29,1957,Marshall,Sun,Male,40,30-44,108,2,2013-10-26,Active
2013-05-15,1958,Isabella,Lopez,Female,45,45-59,44,2,2013-12-27,Active
2013-04-13,1965,Xavier,Russell,Male,40,30-44,120,4,2013-11-16,Active
2013-02-04,1966,Cody,Bell,Male,46,45-59,57,1,2013-02-04,Churned One-Time
2013-07-05,1967,Dennis,Zhu,Male,47,45-59,107,1,2013-07-05,One-Time Buyer
2013-10-24,1974,Adrian,Howard,Male,35,30-44,84,2,2013-12-24,Active
2013-03-20,2267,Samuel,Wang,Male,51,45-59,30,1,2013-03-20,One-Time Buyer
2012-02-25,2274,Elizabeth,Lee,Female,75,60+,4658,2,2013-05-14,Active
2012-01-31,2275,Joshua,Lee,Male,43,30-44,4837,2,2013-05-09,Active
2013-04-03,2285,Victoria,Butler,Female,51,45-59,4767,2,2013-07-02,Active
2012-02-25,2300,Vanessa,Ross,Female,46,45-59,4835,2,2013-05-02,Active
2013-08-30,2301,Timothy,Hernandez,Male,47,45-59,46,1,2013-08-30,One-Time Buyer
2013-12-16,2307,Kaitlyn,Cox,Female,52,45-59,72,1,2013-12-16,One-Time Buyer
2013-01-30,2575,Brenda,Garcia,Female,40,30-44,40,1,2013-01-30,Churned One-Time
2011-01-09,2577,Tamara,Lal,Female,52,45-59,8330,3,2013-06-21,Active
2011-01-22,2586,Savannah,Morris,Female,49,45-59,8368,3,2013-07-19,Active
2012-01-02,2593,Gabriella,Collins,Female,50,45-59,9695,4,2013-08-11,Active
2013-12-15,2594,Deanna,Navarro,Female,55,45-59,50,1,2013-12-15,One-Time Buyer
2011-09-27,262,Stephanie,Collins,Female,43,30-44,6650,3,2013-12-23,Active
2013-08-22,270,Ryan,Foster,Male,38,30-44,42,2,2013-09-10,Active
2013-02-02,278,Charles,Jackson,Male,45,45-59,1305,24,2013-11-23,Active
2011-09-16,279,Jonathan,Phillips,Male,44,30-44,5908,2,2013-01-03,Churned
2013-07-27,286,Jeremy,Anderson,Male,40,30-44,128,2,2013-10-26,Active
2011-09-15,293,Seth,Phillips,Male,46,45-59,5910,2,2012-12-31,Churned
2013-01-31,301,Fernando,Barnes,Male,48,45-59,1499,27,2013-12-31,Active
2011-09-02,304,Julia,Coleman,Female,47,45-59,5875,2,2013-02-23,Churned
2013-07-09,310,Victoria,Lewis,Female,54,45-59,40,1,2013-07-09,One-Time Buyer
2013-08-12,311,Erin,Sanders,Female,49,45-59,77,2,2013-12-24,Active
2013-10-27,519,Edward,Washington,Male,53,45-59,82,2,2013-11-11,Active
2013-02-22,521,Jada,Morgan,Female,53,45-59,702,15,2013-12-24,Active
2011-09-24,530,Austin,Bryant,Male,50,45-59,5944,2,2013-02-04,Churned
2011-09-02,536,Devin,Nelson,Male,50,45-59,5919,2,2013-03-15,Active
2011-09-21,538,Dakota,Ross,Male,50,45-59,5873,2,2013-03-24,Active
2013-12-21,544,Sheena,Chande,Female,40,30-44,54,1,2013-12-21,One-Time Buyer
2012-12-02,547,Christine,Chande,Female,40,30-44,4460,2,2013-03-12,Active
2013-08-22,554,Sharon,Luo,Female,40,30-44,21,1,2013-08-22,One-Time Buyer
2013-11-29,560,Frederick,Subram,Male,35,30-44,35,1,2013-11-29,One-Time Buyer
2012-01-10,569,Alexia,Foster,Female,41,30-44,6789,3,2013-09-20,Active
2012-03-25,571,Kristin,Andersen,Female,42,30-44,4391,2,2013-03-14,Active
2012-12-21,578,Janet,Serrano,Female,42,30-44,4344,2,2013-03-12,Active
2011-09-12,896,Dustin,Chander,Male,38,30-44,8149,3,2013-07-25,Active
2011-08-30,898,Orlando,Ashe,Male,39,30-44,8203,3,2013-10-14,Active
2013-02-21,903,Drew,Pal,Male,41,30-44,62,3,2013-12-29,Active
2013-12-03,914,Rebecca,Robinson,Female,43,30-44,41,3,2013-12-26,Active
2011-10-18,915,Meagan,Rana,Female,34,30-44,8166,3,2013-08-23,Active
2013-09-19,922,Gilbert,Zhu,Male,43,30-44,63,3,2013-11-23,Active
2011-10-14,930,Virginia,Gonzalez,Female,51,45-59,4965,3,2013-12-17,Active
2011-10-29,938,Devin,Perez,Male,31,30-44,5888,2,2013-07-02,Active
2013-03-07,939,Seth,Alexander,Male,30,30-44,8,1,2013-03-07,One-Time Buyer
2011-10-19,945,Rachael,Rodriguez,Female,57,45-59,4776,3,2013-12-20,Active
